기준년도,기준월,행정동_코드,행정동_코드_명,소득_총금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액
2018,10,11740620,천호3동,3224291,7,1411525667,221260000,75824333,7614667,332050000,15676000,36700667,139752000,69486333,72961333,440200333
2018,10,11710580,송파1동,3301762,7,2035191000,407638000,35894000,74661000,350780667,43599000,64248667,79225000,129642000,107372000,742130667
2018,10,11710561,방이1동,4111503,8,1583084000,118482333,25670000,3777333,126212667,254942333,502084000,38420667,42303667,51279333,419911667
2018,10,11710532,거여2동,3176315,7,789977333,239561667,11834667,44780333,148245667,12748000,27326000,22347333,64642000,25099333,193392333
2018,10,11680740,일원2동,4476995,8,453358000,194423667,4147667,1949333,47850333,53856667,24949333,3199000,47237667,10003000,65741333
2018,10,11680580,삼성1동,5383113,9,52288592333,640263000,2292702667,1988740000,1479116000,218124333,82933333,113890000,42107151667,1573797333,1791874000
2018,10,11680510,신사동,5354543,9,10807007333,549281000,687704667,60627667,4131029667,159596333,298105000,309207000,2135501333,489095667,1986859000
2018,10,11650651,양재1동,4265214,8,3208308000,484599000,77550000,53600333,622277667,209583000,271486667,95680000,221639333,301311333,870580667
2018,10,11650621,방배4동,4675273,8,1688479000,204843333,79694333,32693667,431383333,45206333,165951667,39251667,142956667,158456667,388041333
2018,10,11620745,삼성동,2683364,6,491202000,323191667,19410333,4447667,32563333,1945333,20506333,8735333,21409000,10965333,48027667
2018,10,11620655,신원동,2549093,6,498338667,217967667,6203333,6979333,32594000,3194333,7423333,36191333,20533000,20254333,146998000
2018,10,11620605,은천동,3265182,7,1743127667,661497000,28163667,167098667,78444333,114857000,76324000,40897667,46252333,66056333,463536667
2018,10,11590651,사당5동,3287954,7,201044667,62562667,2372667,604667,2943333,5326667,20248333,4399667,7458333,8436667,86691667
2018,10,11560680,신길6동,3127765,7,1111322000,322072667,16993000,18243667,121796333,98263000,84759000,45079333,47299667,35765333,321050000
2018,10,11560630,신길1동,2921245,6,857579000,120782333,13198000,9029667,290824333,84522333,24868000,32586000,54224667,24508333,203035333
2018,10,11560515,영등포본동,3388312,7,897626667,274881667,30770667,12261333,70498333,39058667,57307000,30419667,40312667,58608000,283508667
2018,10,11545710,시흥5동,2453360,6,457855000,142300667,9579667,24416000,28907000,6967333,15067333,28072333,38723667,32483333,131337667
2018,10,11545640,독산4동,2363285,5,681596333,83350333,7179000,21974000,98179667,67634000,21348667,73970333,50365000,22097667,235497667
2018,10,11545610,독산1동,3118798,7,2706002000,713766000,31396667,118793667,678637667,229607667,77963667,108769000,230990333,78104333,437973000
2018,10,11530750,개봉2동,3174076,7,917907667,279049333,17885333,5367333,148216667,3640000,68391667,43183333,55019667,41466667,255687667
2018,10,11530550,구로4동,2790065,6,1174850333,224964333,53514333,40826667,145263333,31149000,46984333,82519333,88862667,36060000,424706333
2018,10,11740550,고덕1동,4688790,8,517873667,258144000,8089000,9588000,49357000,8989333,47938667,11301333,6108000,14118000,104240333
2018,10,11710670,잠실2동,6530656,9,767078000,112852667,38178667,8631000,224997333,733000,126291667,2150333,62437000,55979000,134827333
2018,10,11710600,석촌동,3037834,7,2476642667,646363333,67731000,110714667,354677667,195672667,102113000,122355000,178885667,110281333,587848333
2018,10,11710520,풍납2동,4053076,8,1399527333,300827333,3646000,2119333,672730333,15908333,33830667,17954667,90196667,20648333,241665667
2018,10,11320710,방학3동,3082546,7,508292000,141576333,6489000,1424667,96737333,4791667,31213333,16544000,28924333,8043333,172548000
2018,10,11305610,수유1동,2278378,5,968961000,368138000,54899667,13410333,95289333,83610333,15998667,24599667,90802000,51964333,170248667
2018,10,11305590,번1동,2398041,5,1954701333,265660333,36788000,147539667,337130667,79324000,55419000,76586333,274614667,157399333,524239333
2018,10,11290660,길음1동,4589647,8,1321800667,651484333,20291333,1482667,166601333,2275333,124265000,26945000,59864000,60692000,207899667
2018,10,11260660,망우3동,2294530,5,356698667,106681333,3187000,3449667,77978333,34971333,13569667,5703667,11027000,7311333,92819333
2018,10,11230536,용신동,3014374,7,3469423000,526531333,372735333,129143000,1182810333,214621667,92626667,58589667,124044667,55841000,712479333
2018,10,11215870,구의3동,4206253,8,3093016667,493083667,287031333,325826667,267857000,25955333,265947667,53133667,324597667,286778667,762805000
2018,10,11215740,중곡1동,2647649,6,1145805667,393276000,26746333,79643000,96562333,150392333,11481667,83741333,72869333,41643667,189449667
2018,10,11200615,금호2?3가동,3940591,8,675906667,300178000,28900000,3462333,73254333,0,21274333,20672333,28523667,27032000,172609667
2018,10,11170700,보광동,2615628,6,338498333,76434667,3900667,2017333,34563000,2840000,8969000,24619667,17196333,17526667,150431000
2018,10,11170625,한강로동,5151252,9,10685943333,402266333,53980667,4664925000,262565667,1552183333,66596667,63126667,1589566333,468571333,1562161333
2018,10,11110580,교남동,4618148,8,381979000,70875000,12390000,4104667,99441000,3631000,16921667,10878333,16511667,16837667,130388000
2018,10,11740690,둔촌1동,3593656,7,9552333,1197333,1306000,2498333,0,0,0,0,3053333,712333,785000
2018,10,11740640,성내1동,3606105,7,1396398667,306586667,15875000,47983000,274819000,136581333,75438000,30517667,126716333,51264667,330617000
2018,10,11740530,명일1동,3804668,8,1650018333,389810667,86614000,11798000,276216333,7593667,148368667,59671667,105360333,101289667,463295333
2018,10,11740515,강일동,3174134,7,962438000,287513333,6299667,10288333,93291333,39050667,142014667,5027333,137142333,34764333,207046000
2018,10,11710650,잠실본동,3255015,7,5289567333,907837000,41835000,69084333,1130345333,326656333,218497667,312473333,505864000,189054333,1587920000
2018,10,11710590,송파2동,4478913,8,972561000,197171000,36859333,120742333,89326000,120097000,86689000,15210667,41583667,26814667,238067333
2018,10,11710540,마천1동,2491380,6,384617333,132576333,12546333,11103000,97953667,8549000,13945667,15706333,13387000,5239667,73610333
2018,10,11680750,수서동,3897794,8,16507203000,193731000,15743000,44746333,409930667,5850013000,28147333,14730667,9535445000,59211667,355504333
2018,10,11680730,일원1동,3090872,7,581004000,116499333,4114333,9397333,83127667,41015000,13495667,36168333,44676333,11937333,220572667
2018,10,11680720,일원본동,5575551,9,824646667,132409333,2125667,6816000,385381333,640333,49008333,607000,46808333,16839667,184010667
2018,10,11650581,반포4동,5506481,9,7746065333,660560333,470183667,56270000,3010293000,80102333,543409333,64373000,777675000,438009333,1645189333
2018,10,11380510,녹번동,2957825,6,1009901333,267312333,13249667,10906000,129715667,51305333,55747333,28551333,48678000,33390000,371045667
2018,10,11650520,서초2동,5536500,9,43793814333,471123333,26910333,190079667,1076554000,34181000,532404000,131711667,563087000,39609669000,1158094333
2018,10,11380560,구산동,2747272,6,637272000,239321667,5505333,4469667,104179667,18785000,81348000,10295333,24824333,16677000,131866000
2018,10,11410690,남가좌1동,3907093,8,753631333,171152000,33575667,4577667,288708000,2584667,26371667,21455333,30470667,40473667,134262000
2018,10,11680700,세곡동,4043458,8,1360234000,352990333,11191000,5786000,179173000,120637667,218952667,18903000,56725667,59448667,336426000
2018,10,11680655,도곡1동,5625226,9,4958445667,279906667,24558667,59033000,2653433667,959097667,99199000,14555333,267962667,67067667,533631333
2018,10,11680650,역삼2동,5665510,9,144059765333,554963333,66601000,183191000,785342000,214479667,185343333,115258667,6731018000,134044586000,1178982333
2018,10,11680565,청담동,5352868,9,9421605667,867496000,964142333,255836000,2308500000,375640000,170108667,415359333,664380000,1467422333,1932721000
2018,10,11680545,압구정동,6194250,9,12811175000,514927000,787953000,230253333,3828379333,286274000,505509333,408991000,3751303000,743927000,1753658000
2018,10,11650600,방배1동,4323901,8,1944562333,568981333,44470667,39742333,283065667,91679000,87274000,53647333,121617667,161100333,492984000
2018,10,11650530,서초3동,5012006,9,6177891000,610867333,93090667,62607667,1205054667,539547667,412135000,264330000,484383333,341648333,2164226333
2018,10,11620775,난곡동,2355894,5,748575000,345685667,4567667,7649667,115928333,18993667,52757333,15377000,35496000,28479667,123640000
2018,10,11620695,신림동,2633436,6,2773828333,578662667,63135000,46524667,420380333,10378000,39818667,273872333,279558000,173730333,887768333
2018,10,11620665,서림동,2683303,6,598624667,181589333,8188667,6710667,17991000,43515333,113629667,14838000,34586333,7868000,169707667
2018,10,11545680,시흥2동,3310055,7,179100000,77813667,2202000,308000,11155000,0,40405000,3064333,11465667,7144667,25541667
2018,10,11545620,독산2동,2303281,5,698487000,283497333,6934000,7488667,41732667,76583667,38492667,28437000,51295000,9554667,154471333
2018,10,11545510,가산동,2743530,6,30240164333,837710000,6564983333,19043092333,653283667,145085667,149487000,174704667,869515000,239619000,1562683667
